project,description,url,test_flag,category,#stars,emcc build in wasm,gcc build in native binary,Result of cross-compilation with no change ,Can WasmChecker build the project? what is the result of differential testing?,Manually analyzed test results for WebAssembly,FP,Test results for Native binary,root cause,#executable tests,#test cases,LOC,How many build challenges?,How many build errors are addressed by WasmChecker,What is the build error
earcut.hpp,A polygon triangulation library,https://github.com/mapbox/earcut.hpp,EARCUT_BUILD_TESTS,"Mathematics, Graphics, ML, and Numerical Computations",837,Yes,Yes,0 tests failed out of 1,Y - 0 discrepancies,0 tests failed out of 1,0,0 tests failed out of 1,N/A,1,137,85190,0,0,N/A
Box2D,A 2D physics engine for games,https://github.com/erincatto/Box2D,BOX2D_BUILD_UNIT_TESTS,"Mathematics, Graphics, ML, and Numerical Computations",7.4k,Yes,Yes,1 tests failed out of 1,Y - 0 discrepancies,0 tests failed out of 1,0,0 tests failed out of 1,N/A,1,5,98554,0,0,N/A
MyTinySTL,A tiny STL in C++11,https://github.com/Alinshans/MyTinySTL,NOTHING,Algorithm and Data Structure,11.1k,Yes,Yes,1 tests failed out of 1,Y - 0 discrepancies,0 tests failed out of 1,0,0 tests failed out of 1,N/A,1,81,19285,0,0,N/A
cpp-httplib,An HTTP/HTTPS server and client library,https://github.com/yhirose/cpp-httplib,HTTPLIB_TEST,Networking and Web,12.4k,Build error,Yes,N/A,Y - 184 failed in wasm,184 tests failed out of 271,0,0 tests failed out of 271,"unsupported system calls and system level APIs (183), unsupported system calls and system level APIs (1)",271,271,37004,2,2,"Incompatible compiler flags, undefined symbols"
libhv,A network library for developing TCP/UDP/SSL/HTTP/WebSocket/MQTT client/server,https://github.com/ithewei/libhv,BUILD_UNITTEST,Networking and Web,6.5k,Build error,Yes,N/A,N - undefined symbol: daemon,N/A,N/A,0 tests failed out of 26,N/A,26,26,70128,1,0,undefined symbols
mimalloc,A general purpose allocator,https://github.com/microsoft/mimalloc,MI_BUILD_TESTS,Utility and General Purpose,"9,8k",Build error,Yes,N/A,N - undefined symbol: mi_realpath,N/A,N/A,0 tests failed out of 3,N/A,3,60,17081,1,0,undefined symbols
uvw ,libuv wrapper in modern C++,https://github.com/skypjack/uvw,BUILD_TESTING,Networking and Web,1.8k,Build error,Yes,N/A,N - undefined symbol: uv__process_title_cleanup,N/A,N/A,0 tests failed out of 27,N/A,27,115,9801,1,0,undefined symbols
libuv,A library for asynchronous I/O,https://github.com/libuv/libuv,LIBUV_BUILD_TESTS,Networking and Web,23.6k,Build error,Yes,N/A,N - undefined symbol: uv_exepath,N/A,N/A,0 tests failed out of 2,N/A,2,436,85945,1,0,undefined symbols
SPSCQueue,A bounded single-producer single-consumer wait-free and lock-free queue written in C++11,https://github.com/rigtorp/SPSCQueue,NOTHING,Algorithm and Data Structure,862,Build error,Yes,N/A,N - undefined symbol: pthread_setaffinity_np,N/A,N/A,0 tests failed out of 1,N/A,1,1,685,1,0,undefined symbols
bullet3,"A real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.",https://github.com/bulletphysics/bullet3,BUILD_UNIT_TESTS,"Mathematics, Graphics, ML, and Numerical Computations",12.2k,Build error,Yes,N/A,N - undefined symbol: shmget,N/A,N/A,0 tests failed out of 7,N/A,7,15,1496279,1,0,undefined symbols
Celero,A Benchmark Authoring Library/Framework,https://github.com/DigitalInBlue/Celero,CELERO_ENABLE_TESTS,Utility and General Purpose,813,Build error,Yes,N/A,N - undefined symbol: sysinfo,N/A,N/A,0 tests failed out of 1,N/A,1,48,10400,3,2,"Third-party libraries are needed, undefined symbols, Werror + Target-dependent warnings"
cpputest,A unit testing and mocking framework,https://github.com/cpputest/cpputest,CPPUTEST_BUILD_TESTING,Utility and General Purpose,1.3k,Build error,Yes,N/A,N - emcc bug,N/A,N/A,0 tests failed out of 88,N/A,88,1456,39052,1,0,Bug in Emscripten
stxxl,Standard Template Library for Extra Large Data Sets,https://github.com/stxxl/stxxl,BUILD_TESTS,Algorithm and Data Structure,468,Build error,Yes,N/A,N - emcc bug,N/A,N/A,2 tests failed out of 121,N/A,121,121,76446,2,,"Bug in Emscripten, Werror + Target-dependent warnings"
scnlib,A library for replacing scanf and std::istream.,https://github.com/eliaskosunen/scnlib,NOTHING,Utility and General Purpose,1k,Build error,Yes,N/A,N - emcc bug,N/A,N/A,0 tests failed out of 26,N/A,26,2410,45123,1,0,Bug in Emscripten
proxy,A library making runtime polymorphism easier to implement and faster,https://github.com/microsoft/proxy,BUILD_TESTING,Utility and General Purpose,1.5k,Build error,Yes,N/A,N - emcc bug,N/A,N/A,0 tests failed out of 95,N/A,95,95,3033,1,0,Bug in Emscripten
oneDNN,A Deep Neural Network Library,https://github.com/oneapi-src/oneDNN,NOTHING,"Mathematics, Graphics, ML, and Numerical Computations",3.5k,Build error,Yes,N/A,N - architecture- or platform-specific,N/A,N/A,0 tests failed out of 169,N/A,169,169,1145819,3,1,"architecture- or platform-specific, Third-party libraries are needed, Incompatible compiler flags"
KFR,"Fast, modern C++ DSP framework, FFT, Sample Rate Conversion",https://github.com/kfrlib/kfr,ENABLE_TESTS,"Mathematics, Graphics, ML, and Numerical Computations",1.6k,Build error,Yes,N/A,N - architecture- or platform-specific,NA,N/A,0 tests failed out of 1,NA,1,188,65802,1,0,architecture- or platform-specific
coost,A tiny boost library,https://github.com/idealvin/coost,BUILD_ALL,Utility and General Purpose,3.9k,Build error,Yes,N/A,N - architecture- or platform-specific,N/A,N/A,0 tests failed out of 35,N/A,35,201,45496,1,0,architecture- or platform-specific
libtorrent,"A library implementing the BitTorrent protocol, along with most popular extensions, making it suitable for real world deployment",https://github.com/arvidn/libtorrent,build_tests,Networking and Web,5.1k,Build error,Yes,N/A,N - architecture- or platform-specific,N/A,N/A,0 tests failed out of 106,N/A,106,1305,228855,2,1,"Third-party libraries are needed, architecture- or platform-specific"

q,A Library for Audio Digital Signal Processing,https://github.com/cycfi/q,Q_BUILD_TEST,"Mathematics, Graphics, ML, and Numerical Computations",1.1k,Build error,Yes,N/A,N - 3rdparty library ALSA,N/A,N/A,0 tests failed out of 47,N/A,47,102,166692,2,0,"Third-party libraries are needed, architecture- or platform-specific"
